날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 07월 05일,454.8,2656.6,13565.84,1733.1,0.405,83.4,77.362,88.35,186
2007년 07월 06일,454.8,2666.5,13611.68,1751.75,0.405,83.4,77.362,88.35,186
2007년 07월 09일,454.8,2670,13649.97,1743.6,0.405,83.4,77.362,88.35,186
2007년 07월 10일,454.8,2639.2,13501.7,1771.35,0.405,83.4,77.362,88.35,186
2007년 07월 11일,454.8,2651.8,13577.87,1805.5,0.405,83.4,77.362,88.35,186
2007년 07월 12일,454.8,2701.7,13861.73,1838.41,0.405,83.4,77.362,88.35,186
2007년 07월 13일,454.8,2707,13907.25,1847.79,0.405,83.4,77.362,88.35,186
2007년 07월 16일,454.8,2697.3,13950.98,1861.01,0.405,83.4,77.362,88.35,186
2007년 07월 17일,454.8,2712.3,13971.55,1883.59,0.405,83.4,77.362,88.35,186
2007년 07월 18일,454.8,2699.5,13918.22,1894.53,0.405,83.4,77.362,88.35,186
2007년 07월 19일,454.8,2720,14000.41,1889.96,0.405,83.4,77.362,88.35,186
2007년 07월 20일,454.8,2687.6,13851.08,1909.75,0.405,83.4,77.362,88.35,186
2007년 07월 23일,454.8,2690.6,13943.42,1962.93,0.405,83.4,77.362,88.35,186
2007년 07월 24일,454.8,2639.9,13716.95,1949.51,0.405,83.4,77.362,88.35,186
2007년 07월 25일,454.8,2648.2,13785.07,1930.7,0.405,83.4,77.362,88.35,186
2007년 07월 26일,454.8,2599.3,13473.57,1937.9,0.405,83.4,77.362,88.35,186
2007년 07월 27일,454.8,2561.6,13265.47,1983.54,0.405,83.4,77.362,88.35,186
2007년 07월 30일,454.8,2582.6,13358.31,1993.05,0.405,83.4,77.362,88.35,186
2007년 07월 31일,454.8,2545.6,13211.99,1992.26,0.405,83.4,77.362,88.35,186
2007년 08월 01일,445,2553.2,13362.37,2004.22,0.474,83.8,77.436,88.3,157
2007년 08월 02일,445,2576,13463.33,1963.54,0.474,83.8,77.436,88.3,157
2007년 08월 03일,445,2511.3,13181.91,1883.22,0.474,83.8,77.436,88.3,157
2007년 08월 06일,445,2547.3,13468.78,1906.71,0.474,83.8,77.436,88.3,157
2007년 08월 07일,445,2561.6,13504.3,1933.27,0.474,83.8,77.436,88.3,157
2007년 08월 08일,445,2613,13657.86,1856.45,0.474,83.8,77.436,88.3,157
2007년 08월 09일,445,2556.5,13270.68,1853.07,0.474,83.8,77.436,88.3,157
2007년 08월 10일,445,2544.9,13239.54,1876.8,0.474,83.8,77.436,88.3,157
2007년 08월 13일,445,2542.2,13236.53,1855.05,0.474,83.8,77.436,88.3,157
2007년 08월 14일,445,2499.1,13028.92,1859.82,0.474,83.8,77.436,88.3,157
2007년 08월 15일,445,2458.8,12861.47,1903.41,0.474,83.8,77.436,88.3,157
2007년 08월 16일,445,2451.1,12845.78,1908.68,0.474,83.8,77.436,88.3,157
2007년 08월 17일,445,2505,13079.08,1828.49,0.474,83.8,77.436,88.3,157
2007년 08월 20일,445,2508.6,13121.35,1849.26,0.474,83.8,77.436,88.3,157
2007년 08월 21일,445,2521.3,13090.86,1817.89,0.474,83.8,77.436,88.3,157
2007년 08월 22일,445,2552.8,13236.13,1691.98,0.474,83.8,77.436,88.3,157
2007년 08월 23일,445,2541.7,13235.88,1638.07,0.474,83.8,77.436,88.3,157
2007년 08월 24일,445,2576.7,13378.87,1731.27,0.474,83.8,77.436,88.3,157
2007년 08월 27일,445,2561.3,13322.13,1736.18,0.474,83.8,77.436,88.3,157
2007년 08월 28일,445,2500.6,13041.85,1759.5,0.474,83.8,77.436,88.3,157
2007년 08월 29일,445,2563.2,13289.29,1799.72,0.474,83.8,77.436,88.3,157
2007년 08월 30일,445,2565.3,13238.73,1791.33,0.474,83.8,77.436,88.3,157
2007년 08월 31일,445,2596.4,13357.74,1803.03,0.474,83.8,77.436,88.3,157
2007년 09월 04일,463,2630.2,13448.86,1829.31,0.515,84.1,77.878,88.72,149
2007년 09월 05일,463,2605.9,13305.47,1826.19,0.515,84.1,77.878,88.72,149
2007년 09월 06일,463,2614.3,13363.35,1841.7,0.515,84.1,77.878,88.72,149
2007년 09월 07일,463,2565.7,13113.38,1873.24,0.515,84.1,77.878,88.72,149
2007년 09월 10일,463,2559.1,13127.85,1881.81,0.515,84.1,77.878,88.72,149
2007년 09월 11일,463,2597.5,13308.39,1874.74,0.515,84.1,77.878,88.72,149
2007년 09월 12일,463,2592.1,13291.65,1865.59,0.515,84.1,77.878,88.72,149
2007년 09월 13일,463,2601.1,13424.88,1888.81,0.515,84.1,77.878,88.72,149
2007년 09월 14일,463,2602.2,13442.52,1884.9,0.515,84.1,77.878,88.72,149
2007년 09월 17일,463,2581.7,13403.42,1835.87,0.515,84.1,77.878,88.72,149
2007년 09월 18일,463,2651.7,13739.39,1847.36,0.515,84.1,77.878,88.72,149
2007년 09월 19일,463,2666.5,13815.56,1813.52,0.515,84.1,77.878,88.72,149
2007년 09월 20일,463,2654.3,13766.7,1848.02,0.515,84.1,77.878,88.72,149
2007년 09월 21일,463,2671.2,13820.19,1870.02,0.515,84.1,77.878,88.72,149
2007년 09월 24일,463,2667.9,13759.06,1871.68,0.515,84.1,77.878,88.72,149
2007년 09월 25일,463,2683.4,13778.65,1838.61,0.515,84.1,77.878,88.72,149
2007년 09월 26일,463,2699,13878.15,1902.65,0.515,84.1,77.878,88.72,149
2007년 09월 27일,463,2709.6,13912.94,1908.97,0.515,84.1,77.878,88.72,149
2007년 09월 28일,463,2701.5,13895.63,1919.26,0.515,84.1,77.878,88.72,149
2007년 10월 01일,470,2741,14087.55,1945.28,0.605,85,77.953,88.9,211
2007년 10월 02일,470,2747.1,14047.31,1946.48,0.605,85,77.953,88.9,211
2007년 10월 03일,470,2729.4,13968.05,1962.67,0.605,85,77.953,88.9,211
2007년 10월 04일,470,2733.6,13974.31,2014.09,0.605,85,77.953,88.9,211
2007년 10월 05일,470,2780.3,14066.01,2003.6,0.605,85,77.953,88.9,211
2007년 10월 08일,470,2787.4,14043.73,1996.03,0.605,85,77.953,88.9,211
2007년 10월 09일,470,2803.9,14164.53,2012.82,0.605,85,77.953,88.9,211
2007년 10월 10일,470,2811.6,14078.69,2014.13,0.605,85,77.953,88.9,211
2007년 10월 11일,470,2772.2,14015.12,2041.12,0.605,85,77.953,88.9,211
2007년 10월 12일,470,2805.7,14093.08,2058.85,0.605,85,77.953,88.9,211
2007년 10월 15일,470,2780.1,13984.8,2026.44,0.605,85,77.953,88.9,211
2007년 10월 16일,470,2763.9,13912.94,2035.39,0.605,85,77.953,88.9,211
2007년 10월 17일,470,2792.7,13892.54,2005.76,0.605,85,77.953,88.9,211
